questionnaire,participant_type,parallel
opening_child_pre,Child,
cssrs_t_clin,Clinician,cssrs_t_stu
cssrs_t_stu,Student,cssrs_t_clin
er_questionnaire_clin,Clinician,
moas_m,Mother,moas_f
ffq_sum,Child,
moas_f,Father,moas_m
screening_form,Child,
opening,Child,
siq,Child,
mfq_short,Child,
cssrs_intake,Child,
cssrs,Child,
sdq,Child,
scared,Child,
ATHENS,Child,
sas,Child,
sciafca,Child,
sci_c_clin,Clinician,sci_c_stu
sci_c_stu,Student,sci_c_clin
scip_m,Mother,scip_f
scip_f,Father,scip_m
mast,Child,
marisscisf,Child,
marissoqsf,Child,
arippps_m,Mother,arippps_f
aris,Child,
demographic_parents_f,Father,demographic_parents_m
demographic_parents_m,Mother,demographic_parents_f
swan_m,Mother,swan_f
swan_f,Father,swan_m
dass_f,Father,dass_m
ecr_f,Father,ecr_m
cssrs_fw_maya,Child,
trqsfmarisclin,Clinician,trqsfmaris_stu
covid19,Child,
ecrrc,Child,
piu,Child,
cyberbulling,Child,
erqca,Child,
ders,Child,
wai,Child,
cshq_m,Mother,cshq_f
sdq_parents_m,Mother,sdq_parents_f
dass_m,Mother,dass_f
ders_p_m,Mother,ders_p_f
ecr_m,Mother,ecr_f
cshq_f,Father,cshq_m
erq_f,Father,erq_m
arippps_f,Father,arippps_m
opening_clinicians,Child,
wai_immirisk_clin,Clinician,
remote_clin,Clinician,remote_stu
sdq_parents_f,Father,sdq_parents_m
suicide_form_clin,Clinician,
mini_kid_sum_clin,Clinician,mini_kid_sum_stu
trqsfmaris_stu,Student,trqsfmarisclin
mini_kid_sum_stu,Student,mini_kid_sum_clin
chameleon,Student,
erq_m,Mother,erq_f
cts_m,Mother,cts_f
ending_parent_m,Mother,ending_parent_f
opening_parents_f,Father,opening_parents_m
ders_p_f,Father,ders_p_m
cdrsr_clin,Clinician,
opening_students,Child,
cgi_s_stu,Student,cgi_s_clin
remote_stu,Student,remote_clin
cps_stu,Student,cps_clin
cps_clin,Clinician,cps_stu
cgi_s_clin,Clinician,cgi_s_stu
opening_therapist_battery,Child,
marisyscars_clin,Clinician,
ending_parent_f,Father,ending_parent_m
cts_f,Father,cts_m
cts_c,Child,
dshi_pre,Child,
dshi_post,Child,
inq,Child,
ending,Child,
opening_parents_m,Mother,opening_parents_f
estimation_and_satisfaction,Child,
intro,Child,
cors_c,Child,
cssrs_c_intake,Child,
cssrs_c_measurs,Child,
derss_c,Child,
cpss_c,Child,
chs,Child,
mspss,Child,
asq_parent_m_5de6,Child,
srs_s_parent_m,Mother,srs_s_parent_f
orscors_child_m,Mother,orscors_child_f
wai_parent_m,Mother,wai_parent_f_6e34
csq4_parent_m,Mother,csq4_parent_f
asq_parent_f_f16b,Child,
srs_s_parent_f,Father,srs_s_parent_m
orscors_child_f,Father,orscors_child_m
wai_parent_f_6e34,Father,wai_parent_m
csq4_parent_f,Father,csq4_parent_m
opening_clinician,Child,
criteria_for_ipc,Child,
cssrs_clin_ssc,Child,
cgas_clin,Clinician,
ending_clin,Clinician,
opening_ps_m,Mother,opening_ps_f
opening_ps_f,Father,opening_ps_m
parental_selfstigma_scale_f,Father,parental_selfstigma_scale_m
parental_selfstigma_scale_m,Mother,parental_selfstigma_scale_f
parental_selfefficacy_m,Mother,parental_selfefficacy_f
parental_selfefficacy_f,Father,parental_selfefficacy_m
the_illness_cognitions_questionnaire_f,Father,the_illness_cognitions_questionnaire_m
the_illness_cognitions_questionnaire_m,Mother,the_illness_cognitions_questionnaire_f
isi_m,Mother,isi_f
isi_f,Father,isi_m
the_caregiver_strain_questionnaire_f,Father,the_caregiver_strain_questionnaire_m
the_caregiver_strain_questionnaire_m,Mother,the_caregiver_strain_questionnaire_f
the_impact_of_event_scalerevised_m,Mother,the_impact_of_event_scalerevised_f
the_impact_of_event_scalerevised_f,Father,the_impact_of_event_scalerevised_m
fhs,Clinician,
