questionnaire,participant_type
opening_child_pre,Child
c_ssrs_clin,Clinician
c_ssrs_stu,Student
er_questionnaire_clin,Clinician
moas_m,Mother
ffq,Child
moas_f,Father
screening_form,Child
opening,Child
siq,Child
mfq,Child
mfq_short,Child
c_ssrs_intake,Child
c_ssrs,Child
sdq,Child
scared,Child
ATHENS,Child
SAS,Child
sas,Child
sci_af_ca,Child
sciafca,Child
scs_clin,Clinician
sci_c_clin,Clinician
scs_stu,Student
sci_mother,Mother
sci_father,Father
mast,Child
maris_sci_sf,Child
maris_soq_sf,Child
ARI_P_M,Mother
ARI_S,Child
demographics_f,Father
demographic_parents_f,Father
demographics_m,Mother
swan_m,Mother
swan_f,Father
dass_f,Father
ecr_f,Father
c_ssrs_fu_maya,Child
trq_sf_maris_clin,Clinician
covid19,Child
erc_rc,Child
piu,Child
cyberbulling,Child
erq_ca,Child
ders,Child
wai,Child
cshq_m,Mother
sdq_parents_m,Mother
dass_m,Mother
ders_p_m,Mother
ecr_m,Mother
cshq_f,Father
erq_f,Father
ARI_P_F,Father
opening_clinicians,Child
wai_immirisk_clin,Clinician
remote_clin,Clinician
sdq_parents_f,Father
suicide_form_clin,Clinician
mini_kid_sum_clin,Clinician
trq_sf_maris_stu,Student
mini_kid_sum_stu,Student
chameleon,Child
erq_m,Mother
cts_m,Mother
ending_parent_m,Mother
opening_parents_f,Father
ders_p_f,Father
cdrsr_clin,Clinician
opening_students,Child
cgi_s_stu,Student
remote_stu,Student
cps_stu,Student
cps_clin,Clinician
cgi_s_clin,Clinician
opening_therapist_battery,Child
maris_y_scars_clin,Clinician
ending_parent_f,Father
cts_f,Father
cts_c,Child
dshi_pre,Child
dshi_post,Child
inq,Child
ending,Child
opening_parents_m,Mother
estimation_and_satisfaction,Child
intro,Child
cors_c,Child
cssrs_c_intake,Child
cssrs_c_measurs,Child
derss_c,Child
cpss_c,Child
chs,Child
mspss,Child
ending_child,Child
asq_parent_m_5de6,Child
srs_s_parent_m,Mother
orscors_child_m,Mother
wai_parent_m,Mother
csq4_parent_m,Mother
asq_parent_f_f16b,Child
srs_s_parent_f,Father
orscors_child_f,Father
wai_parent_f_6e34,Child
csq4_parent_f,Father
opening_clinician,Child
criteria_for_ipc,Child
cssrs_clin_ssc,Child
cgas_clin,Clinician
ending_clin,Clinician
