name,questionnaire_alternative_name,Abbreviated_Name
opening_child_pre,opening_child_pre,
c_ssrs_clin,cssrs_t_clin,C-SSRS_T_Clin
c_ssrs_stu,cssrs_t_stu,C-SSRS_T_Stu
er_questionnaire_clin,er_questionnaire_clin,ER Questionnaire_Clin
moas_m,moas_m,MOAS
ffq,ffq_sum,FFQ-Sum_Clin
moas_f,moas_f,
screening_form,screening_form,Screening Form
fhs,fhs,FHS
the_impact_of_event_scalerevised_f,the_impact_of_event_scalerevised_f,
the_impact_of_event_scalerevised_m,the_impact_of_event_scalerevised_m,IES-R
the_caregiver_strain_questionnaire_m,the_caregiver_strain_questionnaire_m,CGSQ
the_caregiver_strain_questionnaire_f,the_caregiver_strain_questionnaire_f,
isi_f,isi_f,
isi_m,isi_m,ISI
the_illness_cognitions_questionnaire_m,the_illness_cognitions_questionnaire_m,ICQ-P
the_illness_cognitions_questionnaire_f,the_illness_cognitions_questionnaire_f,
parental_selfefficacy_f,parental_selfefficacy_f,
parental_selfefficacy_m,parental_selfefficacy_m,PSE
parental_selfstigma_scale_f,parental_selfstigma_scale_f,
parental_selfstigma_scale_m,parental_selfstigma_scale_m,PSSS
opening_ps_f,opening_ps_f,
opening_ps_m,opening_ps_m,
opening,opening,
siq,siq,SIQ
mfq,mfq_short,MFQ-Short
c_ssrs_intake,cssrs_intake,
c_ssrs,cssrs,
sdq,sdq,SDQ
scared,scared,SCARED
ATHENS,ATHENS,AIS
SAS,sas,SAS
sci_af_ca,sciafca,SCI-af.CA
scs_clin,sci_c_clin,SCI_C_Clin
scs_stu,sci_c_stu,SCI_C_Stu
sci_mother,scip_m,SCI-P
sci_father,scip_f,
mast,mast,MAST
maris_sci_sf,marisscisf,
maris_soq_sf,marissoqsf,
ARI_P_M,arippps_m,
ARI_S,aris,ARI-S
demographics_f,demographic_parents_f,
demographics_m,demographic_parents_m,
swan_m,swan_m,SWAN
swan_f,swan_f,
dass_f,dass_f,
ecr_f,ecr_f,
c_ssrs_fu_maya,cssrs_fw_maya,
trq_sf_maris_clin,trqsfmarisclin,TRQ-SF-MARIS_Clin
covid19,covid19,COVID-19
erc_rc,ecrrc,ECR-RC
piu,piu,
cyberbulling,cyberbulling,CVOS
erq_ca,erqca,ERQ-CA
ders,ders,DERS
wai,wai,WAI-S
cshq_m,cshq_m,CSHQ
sdq_parents_m,sdq_parents_m,SDQ_Parents
dass_m,dass_m,DASS
ders_p_m,ders_p_m,DERS_P
ecr_m,ecr_m,ECR
cshq_f,cshq_f,
erq_f,erq_f,
ARI_P_F,arippps_f,
opening_clinicians,opening_clinicians,Opening Clinicians
wai_immirisk_clin,wai_immirisk_clin,WAI_Immirisk_Clin
remote_clin,remote_clin,Remote_Clin
sdq_parents_f,sdq_parents_f,
suicide_form_clin,suicide_form_clin,
mini_kid_sum_clin,mini_kid_sum_clin,M.I.N.I KID_SUM_Clin
trq_sf_maris_stu,trqsfmaris_stu,TRQ-SF-MARIS_Stu
mini_kid_sum_stu,mini_kid_sum_stu,M.I.N.I KID_SUM_Stu
chameleon,chameleon,Chameleon
erq_m,erq_m,ERQ
cts_m,cts_m,CTS
ending_parent_m,ending_parent_m,
opening_parents_f,opening_parents_f,
ders_p_f,ders_p_f,
cdrsr_clin,cdrsr_clin,CDRS-R_Clin
opening_students,opening_students,Opening Students
cgi_s_stu,cgi_s_stu,CGI_S_Stu
remote_stu,remote_stu,Remote_Stu
cps_stu,cps_stu,CPS_Stu
cps_clin,cps_clin,CPS_Clin
cgi_s_clin,cgi_s_clin,CGI_S_Clin
opening_therapist_battery,opening_therapist_battery,Opening Therapist Battery
maris_y_scars_clin,marisyscars_clin,MARIS-Y-SCARS_Clin
ending_parent_f,ending_parent_f,
cts_f,cts_f,CTS
cts_c,cts_c,CTS
dshi_pre,dshi_pre,DSHI
dshi_post,dshi_post,DSHI
inq,inq,INQ
ending,ending,
opening_parents_m,opening_parents_m,
estimation_and_satisfaction,estimation_and_satisfaction,Estimation and Satisfaction
intro,intro,
cors_c,cors_c,CORS
cssrs_c_intake,cssrs_c_intake,
cssrs_c_measurs,cssrs_c_measurs,
derss_c,derss_c,
cpss_c,cpss_c,CPSS-SR
chs,chs,CHS
mspss,mspss,MSPSS
asq_parent_m_5de6,asq_parent_m_5ed6,ASQ
srs_s_parent_m,srs_s_parent_m,SRS-S
orscors_child_m,orscors_child_m,ORS
wai_parent_m,wai_parent_m,
csq4_parent_m,csq4_parent_m,CSQ-4
asq_parent_f_f16b,asq_parent_f_f16b,ASQ
srs_s_parent_f,srs_s_parent_f,SRS-S
orscors_child_f,orscors_child_f,ORS
wai_parent_f_6e34,wai_parent_f_6e34,
csq4_parent_f,csq4_parent_f,CSQ-4
opening_clinician,opening_clinician,
criteria_for_ipc,criteria_for_ipc,
cssrs_clin_ssc,cssrs_clin_ssc,
cgas_clin,cgas_clin,CGAS
ending_clin,ending_clin,
